title,abstract,domain,year
Toxic Speech Classification,"The internet and social media have enabled poisonous speech due to open platforms for content creation and sharing. This project builds a high-accuracy toxic speech classifier using the Random Forest algorithm. Categories such as Obscene, Toxic, Severe Toxic, Threat, Insult, and Identity Hate are grouped under 'Toxic' speech. The model achieves improved precision, recall, and accuracy in categorizing comments into various toxicity levels.",AI / ML,0
Mental Health Chatbot,"Mental health issues like stress, anxiety, and depression increasingly affect students, many of whom hesitate to seek help due to stigma or lack of support. This project proposes a chatbot using NLP and ML to provide emotional support, basic counseling, and mental health awareness through conversational interaction. The system assesses mood, offers coping strategies, motivational messages, and relaxation exercises. It is available 24/7, ensuring privacy, accessibility, and early mental health intervention for students.",AI / ML,0
CampusMitra,"CampusMitra is a student-to-student utility platform designed to address campus problems like high costs of temporary resources, lost belongings, and difficulty finding peer academic help. It provides a structured environment for securely renting items using an OTP-handshake system and peer-to-peer tutoring. The platform is built on the MERN stack with AI-driven image matching for a Lost and Found module. A Faculty Dashboard allows professors to verify tutors, recruit volunteers, and share announcements, making campus life more organized and self-reliant.",Web,0
Online Banking System With Transaction Visualization,"The Bank Management System (BMS) is a web-based application built with HTML and CSS to modernize and streamline core banking operations. It offers Customer Management, Account Operations including deposits, withdrawals, and transfers, and real-time transaction history viewing. A notable feature is its support for government financial schemes, providing users easy access to public benefit programs. The BMS demonstrates the transformative potential of web technologies in advancing modern, inclusive, and efficient banking services.",Web,0
Cal Counter,"Maintaining a healthy lifestyle is increasingly difficult due to rising consumption of processed foods and lack of nutritional awareness. This project proposes an AI-powered Calorie Counting Application using computer vision and deep learning, specifically Convolutional Neural Networks (CNNs), to automate nutritional tracking by identifying food items from photos. The application estimates portion sizes, calculates caloric intake, and provides a personalized recommendation engine based on user history and health goals. It aims to bridge the gap between complex nutritional data and daily consumer habits for obesity prevention.",AI / ML,0
Student Productivity System,"Students often rely on multiple disconnected tools for task management, group coordination, and coding practice, leading to inefficiency. This project presents a web-based student productivity and collaboration system built using the MERN stack. It integrates task management, group collaboration, resource sharing, and collaborative coding rooms for real-time code editing and execution. Basic communication features such as text chat and voice interaction are included to support peer learning during coding sessions.",Web,0
Smart Load Matching and Pricing System for India's Truck Transport Sector,"India's truck transportation sector remains largely unorganised, with truck drivers facing challenges like lack of return-load availability, empty return trips, income loss, and inefficient fuel usage. This project proposes a smart load matching and pricing system that connects truck drivers with load providers using data analytics to evaluate route distance, load weight, travel time, road quality, fuel prices, and accommodation costs. The system generates transparent and fair trip pricing, reduces idle time, and improves driver income. It supports the gradual formalisation of the unorganised trucking sector.",Data Science,0
Air Quality Monitoring and Prediction System Using Machine Learning,"Air pollution is a major environmental challenge affecting public health and ecological balance. This project designs an Air Quality Monitoring and Prediction System using machine learning techniques that collects and preprocesses historical air quality data including pollutants such as PM2.5, PM10, NO2, SO2, CO, and O3. A machine learning model predicts the Air Quality Index (AQI) based on pollutant values. The system provides reliable predictions to assist government agencies, environmental organizations, and the public in making informed decisions about pollution control and health protection.",AI / ML,0
Business Sales Analyzer,"Businesses struggle to analyze large volumes of sales data in real time, with traditional methods failing to provide accurate insights and predictions. This project presents a Business Sales Analyzer, a real-time data analytics system that collects and processes sales-related data including product info, transaction history, customer demographics, and revenue details using machine learning. It provides insights on revenue analysis, sales trends, best-selling products, customer behavior, and seasonal demand patterns. Interactive dashboards and graphical visualizations enable faster, data-driven business decision-making.",Data Science,0
A Mobile Application for Longitudinal Medical Symptom Logging and Doctor-Assisted Consultation Support,"Patients often face difficulties recalling symptoms over extended periods, leading to inaccurate diagnoses or delayed treatment. This project presents a mobile application for longitudinal medical symptom logging, allowing users to systematically record health-related information including severity, duration, frequency, and personal notes over time. The system automatically generates structured, doctor-ready reports and uses an AI-assisted analysis module to identify recurring symptom patterns. The application ensures ethical usage by not providing medical diagnoses, and maintains strict data privacy and security standards.",Healthcare,0
SyncUp – Smart Group Scheduling and Meetup Planner,"Coordinating meetups among individuals from different institutions is challenging due to varying schedules and commitments. SyncUp is a smart group scheduling web application that allows users to create groups, share availability through a timeline-based interface, and view group activities in a centralized feed. The application automatically identifies overlapping free time slots and suggests optimal meeting times for the entire group. It aims to reduce manual coordination efforts and provide an efficient, user-friendly solution for scheduling group meetups.",Web,0
Smart Academic Planner and Performance Tracking Portal,"Traditional methods of timetable planning, assignment tracking, and performance monitoring are mostly manual, leading to missed deadlines and poor time management. The Smart Academic Planner and Performance Tracking Portal is a web-based application where students can maintain course timetables, track attendance and marks, and receive intelligent study recommendations based on performance trends. Faculty can update attendance, internal marks, and assignment scores online, while students receive personalized alerts for backlog subjects or low scores. A machine learning recommendation engine classifies subjects into priority levels and suggests optimal study plans.",Web,0
A Fair Ticket Resale Web Platform for Events with Price Locking and Transparency,"Event tickets are often resold through unofficial channels at inflated prices, leading to black marketing and unfair practices. This project proposes a web-based platform that allows users to resell event tickets strictly at the original purchase price with an additional fixed platform fee, enforcing price locking and preventing manipulation. The system includes ticket verification mechanisms, controlled resale workflows, and administrative monitoring to reduce fraud and duplicate resales. Developed using Java, Spring Boot, and MySQL, it aims to provide a transparent, secure, and ethical solution for ticket resale.",Web,0
Stock Price Prediction Using LSTM,"Stock price prediction is challenging due to dynamic, nonlinear market volatility, and traditional statistical methods struggle with long-term dependencies in time-series data. This study proposes an LSTM (Long Short-Term Memory) model, a type of RNN, to forecast closing prices from historical data using memory cells and gates that retain temporal patterns. The methodology includes preprocessing data, creating sliding window sequences, and training with Adam optimizer and MSE loss. The model outperforms traditional methods on MSE/RMSE metrics for short-term forecasts, effectively capturing trends and fluctuations.",AI / ML,0
Live Location Based Person Safety System,"The Live Location Based Person Safety System is designed to enhance personal security by providing real-time location tracking and instant emergency alert mechanisms. The system enables users to share their live location with trusted contacts during critical situations and is especially useful for women, children, elderly individuals, and people traveling alone. It integrates mobile technology with location-based services and GPS to detect emergencies and notify predefined contacts with accurate geographical coordinates. The system ensures reliability, quick response, and ease of use for modern personal safety needs.",IoT,0
Real-Time Intelligent Traffic Management System,"Rapid urbanization has resulted in increased traffic congestion, longer travel times, and frequent road accidents in metropolitan areas. The Real-Time Intelligent Traffic Management System utilizes live traffic data from cameras, sensors, and GPS-enabled vehicles to continuously analyze traffic density and flow patterns at intersections. Traffic signals are dynamically controlled based on this analysis to reduce waiting time and improve road efficiency. The system also provides real-time traffic updates, congestion alerts, and alternate route suggestions through a web or mobile application.",IoT,0
